System,Rise Time (s),Settling Time (s),Overshoot (%),Steady-State Value,Undamped Natural Freq (rad/s),Damping Ratio,Poles
filtered_velocity_13,0.034,2.85,172.152,0.927,30.443,0.03,"((-0.91329+30.42929756625841j), (-0.91329-30.42929756625841j))"
filtered_velocity_14,0.034,2.66,172.36,0.93,33.806,0.038,"((-1.2846279999999999+33.78158325036907j), (-1.2846279999999999-33.78158325036907j))"
filtered_velocity_15,0.036,2.81,164.725,0.973,35.147,0.055,"((-1.933085+35.093799899451966j), (-1.933085-35.093799899451966j))"
filtered_velocity_16,0.035,2.37,158.95,0.962,45.226,0.004,"((-0.180904+45.22563819055275j), (-0.180904-45.22563819055275j))"
filtered_velocity_17,0.036,2.6,166.227,0.958,46.459,0.655,"((-30.430645000000002+35.1057620040354j), (-30.430645000000002-35.1057620040354j))"
filtered_velocity_18,0.036,2.66,171.508,0.937,49.208,0.669,"((-32.920152+36.5744563363134j), (-32.920152-36.5744563363134j))"
filtered_velocity_19,0.034,2.89,170.309,0.924,37.71,0.048,"((-1.8100800000000001+37.666533028586535j), (-1.8100800000000001-37.666533028586535j))"
filtered_velocity_20,0.034,2.65,168.354,0.941,31.456,0.049,"((-1.541344+31.418214377549592j), (-1.541344-31.418214377549592j))"
filtered_velocity_1,0.04,2.48,90.508,1.425,40.627,0.035,"((-1.4219450000000002+40.60210833709224j), (-1.4219450000000002-40.60210833709224j))"
filtered_velocity_2,1.906,,158.398,1.039,36.929,0.658,"((-24.299282+27.80819906582366j), (-24.299282-27.80819906582366j))"
filtered_velocity_3,0.013,,384.001,0.434,22.179,0.001,"((-0.022178999999999997+22.178988910497228j), (-0.022178999999999997-22.178988910497228j))"
filtered_velocity_4,0.032,3.98,166.814,1.0,37.769,0.005,"((-0.18884499999999999+37.76852788454926j), (-0.18884499999999999-37.76852788454926j))"
filtered_velocity_5,0.036,3.169,108.905,1.229,35.674,0.046,"((-1.641004+35.636236920752225j), (-1.641004-35.636236920752225j))"
filtered_velocity_6,3.864,,83.155,1.417,24.033,0.001,"((-0.024033000000000002+24.032987983496998j), (-0.024033000000000002-24.032987983496998j))"
filtered_velocity_7,1.96,3.98,164.945,0.968,35.485,0.548,"((-19.445780000000003+29.682433613024383j), (-19.445780000000003-29.682433613024383j))"
filtered_velocity_8,2.409,3.98,208.759,0.679,49.38,0.537,"((-26.517060000000004+41.65609113870863j), (-26.517060000000004-41.65609113870863j))"
filtered_velocity_9,0.036,3.109,116.523,1.287,38.816,0.052,"((-2.0184320000000002+38.76348524399446j), (-2.0184320000000002-38.76348524399446j))"
filtered_velocity_10,0.035,,157.739,0.995,24.299,0.031,"((-0.753269+24.287321524071753j), (-0.753269-24.287321524071753j))"
filtered_velocity_11,0.042,2.53,71.962,1.571,40.992,0.023,"((-0.9428159999999999+40.98115618171532j), (-0.9428159999999999-40.98115618171532j))"
filtered_velocity_12,0.05,1.75,43.393,1.793,40.126,0.023,"((-0.9228979999999999+40.11538526901612j), (-0.9228979999999999-40.11538526901612j))"
filtered_velocity_13,0.059,1.86,61.372,2.02,40.567,0.041,"((-1.6632470000000001+40.53288909536293j), (-1.6632470000000001-40.53288909536293j))"
filtered_velocity_14,0.034,,87.179,1.238,23.475,0.0,"((-0+23.475j), (-0-23.475j))"
filtered_velocity_15,3.856,,148.367,1.039,21.297,0.001,"((-0.021297+21.296989351497338j), (-0.021297-21.296989351497338j))"
filtered_velocity_16,0.047,2.45,87.81,1.643,40.539,0.013,"((-0.527007+40.53557430975847j), (-0.527007-40.53557430975847j))"
filtered_velocity_17,0.114,2.92,114.322,1.266,36.454,0.014,"((-0.510356+36.45042733293074j), (-0.510356-36.45042733293074j))"
filtered_velocity_18,1.927,3.91,165.13,0.876,38.238,0.018,"((-0.6882839999999999+38.23180494215966j), (-0.6882839999999999-38.23180494215966j))"
filtered_velocity_19,0.049,2.82,83.808,1.755,38.292,0.008,"((-0.306336+38.29077463639387j), (-0.306336-38.29077463639387j))"
filtered_velocity_20,0.552,3.38,160.961,0.733,41.085,0.058,"((-2.38293+41.01583681476095j), (-2.38293-41.01583681476095j))"
